Method,Bias,MAD,MSE,MAPE,RSFE,Tracking_Signal,Next_Forecast
Naive,0.0856,1.1902,2.4136,1.1175,13.5259,11.3642,130.5362
Moving Average,0.0824,0.9661,1.5154,0.9068,12.9309,13.3852,129.9038
Weighted MA,0.055,0.6688,0.7369,0.6278,8.6342,12.9099,130.0936
Exp Smoothing,0.2387,2.0846,6.8061,1.951,37.9518,18.2059,128.3958
Trend-Adj ES,0.0997,1.3348,2.8056,1.2687,15.8537,11.8769,131.1822
Linear Trend,0,7.7767,82.8028,7.3777,0,0,112.969
Seasonal Indices,0,7.756,82.3176,7.3581,-0.0065,-0.0008,112.8964
Additive Decomp,-0.0566,1.1109,2.1293,1.0518,-8.3159,-7.486,112.0005
Multiplicative Decomp,-0.0587,1.1034,2.0977,1.0441,-8.6297,-7.8208,111.9724
Regression+Seasonal,0,7.6997,81.6751,7.3063,0,0,112.7988
